Date,YSB,Temp,RH,RF
26-02-2018,64,25.05,86,0
27-02-2018,57,26.5,76.5,0
28-02-2018,48,26.45,79,0
01-03-2018,30,28.35,62,0
02-03-2018,0,28.85,73,0
03-03-2018,33,30.2,71.5,0
04-03-2018,0,25.65,71.5,0
05-03-2018,30,27.3,75.5,0
06-03-2018,32,25.3,79,0
07-03-2018,25,25.85,75,0
08-03-2018,29,26.5,75.5,0
09-03-2018,32,26.15,78.5,0
10-03-2018,0,27.55,67.5,0
11-03-2018,0,27.25,68.5,0
12-03-2018,20,27.45,78.5,0
13-03-2018,22,27.45,79,0
14-03-2018,20,28.4,80,0
15-03-2018,10,25.95,74.5,0
16-03-2018,0,27.65,68.5,0
17-03-2018,4,26.95,78.5,0
18-03-2018,0,28.85,79.5,0
19-03-2018,0,28.2,81.5,0
20-03-2018,3,26.65,74.5,0
21-03-2018,4,27.65,75,0
22-03-2018,0,28.9,75,0
23-03-2018,7,29.45,79,0
24-03-2018,0,31.15,75.5,0
25-03-2018,0,28.8,75.5,0
26-03-2018,7,30.2,80,0
27-03-2018,0,31.05,74.5,0
28-03-2018,4,29.6,71,0
29-03-2018,0,29.95,78,0
30-03-2018,0,28.9,81.5,0
31-03-2018,3,29.95,75.5,0
01-04-2018,0,31.6,71.5,0
02-04-2018,0,31.25,77,0
03-04-2018,6,31.2,77,0
04-04-2018,3,30.6,68.5,12
05-04-2018,0,31.15,66,0
06-04-2018,0,30.05,64,11
07-04-2018,1,30.6,64,9
08-04-2018,0,30.5,64.5,0
09-04-2018,2,29,60.5,0
10-04-2018,0,30.3,60.5,0
11-04-2018,3,30.45,60.5,0
12-04-2018,6,29.85,65,0
13-04-2018,0,32.15,60.5,0
14-04-2018,0,32,60.5,0
15-04-2018,0,31.7,60.5,0
16-04-2018,7,33.15,68.5,0
17-04-2018,10,33.1,68,0
18-04-2018,6,32.85,66,4
19-04-2018,10,33.05,63,0
20-04-2018,0,32.45,62.5,0
21-04-2018,7,32.55,68.5,0
22-04-2018,0,32.45,68.5,0
23-04-2018,0,32.9,71,0
24-04-2018,9,33,75,0
25-04-2018,0,33.15,71.5,11
26-04-2018,5,31.3,75,0
27-04-2018,0,30.65,69,0
28-04-2018,4,31.6,59,0
29-04-2018,0,33,62.5,0
30-04-2018,0,31.4,58,0
01-05-2018,0,26.5,72.5,47
02-05-2018,0,28.5,76,0
03-05-2018,0,29.45,65.5,0
04-05-2018,0,30.05,71,0
05-05-2018,0,30.5,78,0
